As of date,As of time,Number of confirmed cases,Number of ruled out cases,Number of cases still hospitalised for investigation,Number of cases fulfilling the reporting criteria,Number of death cases,Number of discharge cases,Number of probable cases,Number of hospitalised cases in critical condition,Number of cases tested positive for SARS-CoV-2 virus by nucleic acid tests,Number of cases tested positive for SARS-CoV-2 virus by rapid antigen tests,Number of positive nucleic acid test laboratory detections,Number of death cases related to COVID-19
08/01/2020,12:00,0,21,17,38,0,0,0,,,,,
09/01/2020,12:00,0,25,23,48,0,0,0,,,,,
10/01/2020,12:00,0,31,23,54,0,0,0,,,,,
11/01/2020,12:00,0,46,15,61,0,0,0,,,,,
12/01/2020,12:00,0,51,16,67,0,0,0,,,,,
13/01/2020,12:00,0,56,12,68,0,0,0,,,,,
14/01/2020,12:00,0,60,11,71,0,0,0,,,,,
15/01/2020,12:00,0,66,10,76,0,0,0,,,,,
16/01/2020,12:00,0,71,7,78,0,0,0,,,,,
17/01/2020,12:00,0,75,6,81,0,0,0,,,,,
18/01/2020,12:00,0,76,14,90,0,0,0,,,,,
19/01/2020,12:00,0,80,19,99,0,0,0,,,,,
20/01/2020,12:00,0,81,25,106,0,0,0,,,,,
21/01/2020,12:00,0,88,30,118,0,0,0,,,,,
22/01/2020,12:00,0,97,38,135,0,0,0,,,,,
23/01/2020,12:00,2,109,65,176,0,0,0,,,,,
24/01/2020,12:00,5,122,117,244,0,0,0,,,,,
25/01/2020,12:00,5,163,137,305,0,0,0,,,,,
26/01/2020,12:00,8,219,155,382,0,0,0,,,,,
27/01/2020,12:00,8,276,167,451,0,0,0,,,,,
28/01/2020,12:00,8,332,189,529,0,0,0,,,,,
29/01/2020,12:00,10,416,159,585,0,0,0,,,,,
30/01/2020,23:59,12,478,191,680,0,0,0,,,,,
31/01/2020,12:00,13,550,203,766,0,0,0,,,,,
01/02/2020,23:59,14,634,188,835,0,0,0,,,,,
02/02/2020,12:00,15,699,168,882,0,0,0,,,,,
03/02/2020,12:00,15,744,159,918,0,0,0,,,,,
04/02/2020,23:59,18,808,157,982,1,0,0,,,,,
05/02/2020,12:00,21,868,154,1043,1,0,0,,,,,
06/02/2020,23:59,24,920,158,1100,1,0,0,,,,,
07/02/2020,23:59,26,975,158,1158,1,0,0,,,,,
08/02/2020,12:00,26,1035,141,1202,1,0,0,,,,,
09/02/2020,12:00,36,1066,129,1231,1,0,0,,,,,
10/02/2020,23:59,42,1089,143,1273,1,0,0,,,,,
11/02/2020,23:59,49,1123,154,1325,1,0,0,,,,,
12/02/2020,12:00,50,1164,170,1384,1,1,0,,,,,
13/02/2020,12:00,53,1222,161,1436,1,1,0,,,,,
14/02/2020,12:00,56,1274,142,1472,1,1,0,,,,,
15/02/2020,12:00,56,1312,149,1517,1,1,0,,,,,
16/02/2020,12:00,57,1341,136,1534,1,2,0,,,,,
17/02/2020,12:00,60,1366,123,1549,1,2,0,,,,,
18/02/2020,12:00,61,1384,133,1578,1,4,0,,,,,
19/02/2020,12:00,63,1417,129,1609,2,5,0,,,,,
20/02/2020,12:00,67,1448,113,1628,2,5,0,,,,,
21/02/2020,12:00,68,1472,111,1652,2,6,1,,,,,
22/02/2020,12:00,68,1494,108,1671,2,11,1,,,,,
23/02/2020,12:00,74,1510,119,1703,2,12,0,,,,,
24/02/2020,12:00,77,1538,116,1731,2,19,0,,,,,
25/02/2020,12:00,85,1566,112,1763,2,18,0,,,,,
26/02/2020,12:00,91,1601,128,1820,2,24,0,,,,,
27/02/2020,12:00,92,1663,134,1889,2,26,0,,,,,
28/02/2020,12:00,94,1718,124,1936,2,30,0,,,,,
29/02/2020,12:00,94,1770,120,1984,2,33,0,,,,,
01/03/2020,12:00,97,1805,129,2033,2,36,2,,,,,
02/03/2020,12:00,99,1853,135,2088,2,36,1,,,,,
03/03/2020,12:00,100,1898,136,2135,2,37,1,,,,,
04/03/2020,12:00,103,1940,134,2178,2,43,1,,,,,
05/03/2020,12:00,104,1979,127,2211,2,46,1,,,,,
06/03/2020,12:00,106,2011,131,2249,2,51,1,,,,,
07/03/2020,12:00,108,2055,117,2281,2,55,1,,,,,
08/03/2020,12:00,113,2079,113,2306,3,59,1,,,,,
09/03/2020,12:00,115,2096,134,2346,3,60,1,,,,,
10/03/2020,12:00,117,2132,136,2386,3,65,1,,,,,
11/03/2020,12:00,129,2156,146,2432,3,67,1,,,,,
12/03/2020,12:00,130,2190,155,2476,3,75,1,,,,,
13/03/2020,12:00,132,2234,156,2523,4,78,1,,,,,
14/03/2020,12:00,139,2288,153,2581,4,81,1,,,,,
15/03/2020,12:00,147,2330,167,2645,4,84,1,,,,,
16/03/2020,12:00,156,2395,174,2726,4,88,1,,,,,
17/03/2020,12:00,164,2451,270,2886,4,92,1,,,,,
18/03/2020,12:00,184,2636,238,3059,4,95,1,,,,,
19/03/2020,12:00,206,2752,362,3321,4,98,1,,,,,
20/03/2020,12:00,250,3046,291,3588,4,98,1,,,,,
21/03/2020,16:00,273,3248,311,3831,4,100,1,,,,,
22/03/2020,16:00,317,3327,464,4096,4,100,1,,,,,
23/03/2020,16:00,351,3647,310,4309,4,101,1,,,,,
24/03/2020,16:00,382,3881,293,4557,4,102,1,,,,,
25/03/2020,16:00,407,4054,301,4756,4,106,1,,,,,
26/03/2020,16:00,452,4251,262,4966,4,110,1,,,,,
27/03/2020,16:00,494,4573,224,5292,4,111,1,,,,,
28/03/2020,12:00,526,4834,233,5594,4,112,1,,,,,
29/03/2020,12:00,577,5023,197,5798,4,118,1,,,,,
30/03/2020,12:00,623,5181,184,5989,4,124,1,,,,,
31/03/2020,12:00,680,5393,197,6271,4,128,1,,,,,
01/04/2020,12:00,737,5564,149,6451,4,147,1,,,,,
02/04/2020,12:00,784,5671,141,6597,4,154,1,,,,,
03/04/2020,12:00,831,5757,133,6722,4,173,1,,,,,
04/04/2020,12:00,853,5883,151,6888,4,186,1,,,,,
05/04/2020,12:00,882,6057,132,7072,4,206,1,,,,,
06/04/2020,12:00,914,,,,4,216,1,12,,,,
07/04/2020,12:00,935,,,,4,236,1,14,,,,
08/04/2020,12:00,960,,,,4,264,1,14,,,,
09/04/2020,12:00,973,,,,4,293,1,14,,,,
10/04/2020,12:00,989,,,,4,309,1,15,,,,
11/04/2020,12:00,1000,,,,4,336,1,14,,,,
12/04/2020,12:00,1004,,,,4,360,1,13,,,,
13/04/2020,12:00,1009,,,,4,397,1,13,,,,
14/04/2020,12:00,1012,,,,4,434,1,13,,,,
15/04/2020,12:00,1016,,,,4,459,1,10,,,,
16/04/2020,12:00,1017,,,,4,485,1,9,,,,
17/04/2020,12:00,1021,,,,4,532,1,9,,,,
18/04/2020,12:00,1023,,,,4,568,1,9,,,,
19/04/2020,12:00,1025,,,,4,602,1,8,,,,
20/04/2020,12:00,1025,,,,4,630,1,8,,,,
21/04/2020,12:00,1029,,,,4,650,1,8,,,,
22/04/2020,12:00,1033,,,,4,678,1,8,,,,
23/04/2020,12:00,1035,,,,4,699,1,9,,,,
24/04/2020,12:00,1035,,,,4,725,1,7,,,,
25/04/2020,12:00,1037,,,,4,753,1,4,,,,
26/04/2020,12:00,1037,,,,4,772,1,4,,,,
27/04/2020,12:00,1037,,,,4,787,1,4,,,,
28/04/2020,12:00,1037,,,,4,811,1,4,,,,
29/04/2020,12:00,1037,,,,4,830,1,4,,,,
30/04/2020,12:00,1037,,,,4,846,1,4,,,,
01/05/2020,12:00,1039,,,,4,859,1,4,,,,
02/05/2020,12:00,1039,,,,4,864,1,4,,,,
03/05/2020,12:00,1039,,,,4,879,1,3,,,,
04/05/2020,12:00,1040,,,,4,900,1,1,,,,
05/05/2020,12:00,1040,,,,4,920,1,1,,,,
06/05/2020,12:00,1040,,,,4,932,1,2,,,,
07/05/2020,12:00,1044,,,,4,944,1,1,,,,
08/05/2020,12:00,1044,,,,4,960,1,1,,,,
09/05/2020,12:00,1044,,,,4,967,1,1,,,,
10/05/2020,12:00,1047,,,,4,982,1,1,,,,
11/05/2020,12:00,1047,,,,4,985,1,1,,,,
12/05/2020,12:00,1047,,,,4,991,1,1,,,,
13/05/2020,12:00,1050,,,,4,1008,1,1,,,,
14/05/2020,12:00,1051,,,,4,1009,1,1,,,,
15/05/2020,12:00,1052,,,,4,1019,1,1,,,,
16/05/2020,12:00,1052,,,,4,1022,1,1,,,,
17/05/2020,12:00,1055,,,,4,1024,1,1,,,,
18/05/2020,12:00,1055,,,,4,1025,1,1,,,,
19/05/2020,12:00,1055,,,,4,1025,1,1,,,,
20/05/2020,12:00,1055,,,,4,1026,1,1,,,,
21/05/2020,12:00,1063,,,,4,1029,1,1,,,,
22/05/2020,12:00,1065,,,,4,1029,1,1,,,,
23/05/2020,12:00,1065,,,,4,1029,1,1,,,,
24/05/2020,12:00,1065,,,,4,1030,1,1,,,,
25/05/2020,12:00,1065,,,,4,1030,1,0,,,,
26/05/2020,12:00,1065,,,,4,1033,1,1,,,,
27/05/2020,12:00,1066,,,,4,1034,1,1,,,,
28/05/2020,12:00,1066,,,,4,1035,1,1,,,,
29/05/2020,12:00,1079,,,,4,1035,1,1,,,,
30/05/2020,12:00,1082,,,,4,1036,1,1,,,,
31/05/2020,12:00,1084,,,,4,1037,1,2,,,,
01/06/2020,12:00,1087,,,,4,1037,1,2,,,,
02/06/2020,12:00,1093,,,,4,1038,1,2,,,,
03/06/2020,12:00,1093,,,,4,1039,1,2,,,,
04/06/2020,12:00,1099,,,,4,1042,1,2,,,,
05/06/2020,12:00,1102,,,,4,1045,1,2,,,,
06/06/2020,12:00,1105,,,,4,1048,1,2,,,,
07/06/2020,12:00,1106,,,,4,1049,1,2,,,,
08/06/2020,12:00,1107,,,,4,1049,1,3,,,,
09/06/2020,12:00,1107,,,,4,1050,1,3,,,,
10/06/2020,12:00,1107,,,,4,1051,1,4,,,,
11/06/2020,12:00,1107,,,,4,1055,1,4,,,,
12/06/2020,12:00,1108,,,,4,1060,1,3,,,,
13/06/2020,12:00,1109,,,,4,1061,1,3,,,,
14/06/2020,12:00,1109,,,,4,1067,1,3,,,,
15/06/2020,12:00,1112,,,,4,1067,1,3,,,,
16/06/2020,12:00,1112,,,,4,1069,1,3,,,,
17/06/2020,12:00,1120,,,,4,1071,1,3,,,,
18/06/2020,12:00,1124,,,,4,1072,1,3,,,,
19/06/2020,12:00,1127,,,,4,1074,1,3,,,,
20/06/2020,12:00,1128,,,,4,1077,1,3,,,,
21/06/2020,12:00,1131,,,,5,1078,1,2,,,,
22/06/2020,12:00,1161,,,,5,1078,1,2,,,,
23/06/2020,12:00,1177,,,,6,1083,1,1,,,,
24/06/2020,12:00,1179,,,,6,1086,1,1,,,,
25/06/2020,12:00,1193,,,,7,1088,1,1,,,,
26/06/2020,12:00,1196,,,,7,1091,1,1,,,,
27/06/2020,12:00,1197,,,,7,1095,1,1,,,,
28/06/2020,12:00,1199,,,,7,1104,1,1,,,,
29/06/2020,12:00,1203,,,,7,1105,1,1,,,,
30/06/2020,12:00,1205,,,,7,1107,1,1,,,,
01/07/2020,12:00,1233,,,,7,1117,1,1,,,,
02/07/2020,12:00,1242,,,,7,1120,1,1,,,,
03/07/2020,12:00,1247,,,,7,1125,1,1,,,,
04/07/2020,12:00,1258,,,,7,1145,1,1,,,,
05/07/2020,12:00,1268,,,,7,1156,1,1,,,,
06/07/2020,12:00,1285,,,,7,1157,1,1,,,,
07/07/2020,12:00,1299,,,,7,1161,1,1,,,,
08/07/2020,12:00,1323,,,,7,1167,1,1,,,,
09/07/2020,12:00,1365,,,,7,1176,1,2,,,,
10/07/2020,12:00,1403,,,,7,1187,1,2,,,,
11/07/2020,12:00,1431,,,,7,1197,1,2,,,,
12/07/2020,12:00,1469,,,,7,1214,1,4,,,,
13/07/2020,12:00,1521,,,,7,1217,1,5,,,,
14/07/2020,12:00,1569,,,,8,1229,1,6,,,,
15/07/2020,12:00,1588,,,,8,1241,1,7,,,,
16/07/2020,12:00,1655,,,,10,1254,1,6,,,,
17/07/2020,12:00,1713,,,,10,1264,1,8,,,,
18/07/2020,12:00,1777,,,,12,1274,1,13,,,,
19/07/2020,12:00,1885,,,,12,1294,1,19,,,,
20/07/2020,,1958,,,,12,1301,1,23,,,,
21/07/2020,,2018,,,,14,1324,1,29,,,,
22/07/2020,,2131,,,,14,1344,1,29,,,,
23/07/2020,,2249,,,,15,1379,1,33,,,,
24/07/2020,,2372,,,,16,1407,1,34,,,,
25/07/2020,,2505,,,,18,1455,1,37,,,,
26/07/2020,,2633,,,,18,1495,1,40,,,,
27/07/2020,,2778,,,,22,1486,1,38,,,,
28/07/2020,,2884,,,,22,1527,1,39,,,,
29/07/2020,,3002,,,,24,1591,1,38,,,,
30/07/2020,,3151,,,,24,1660,1,39,,,,
31/07/2020,,3272,,,,27,1751,1,43,,,,
01/08/2020,,3396,,,,31,1858,1,34,,,,
02/08/2020,,3511,,,,34,1959,1,34,,,,
03/08/2020,,3589,,,,37,2037,1,43,,,,
04/08/2020,,3669,,,,41,2141,1,43,,,,
05/08/2020,,3754,,,,43,2314,1,44,,,,
06/08/2020,,3849,,,,44,2458,1,39,,,,
07/08/2020,,3938,,,,46,2620,1,41,,,,
08/08/2020,,4007,,,,47,2755,1,45,,,,
09/08/2020,,4079,,,,51,2847,1,41,,,,
10/08/2020,,4148,,,,54,2917,1,36,,,,
11/08/2020,,4181,,,,58,3052,1,32,,,,
12/08/2020,,4243,,,,63,3189,1,30,,,,
13/08/2020,,4312,,,,65,3295,1,32,,,,
14/08/2020,,4360,,,,66,3392,1,30,,,,
15/08/2020,,4406,,,,68,3488,1,27,,,,
16/08/2020,,4480,,,,69,3549,1,27,,,,
17/08/2020,,4524,,,,69,3599,1,29,,,,
18/08/2020,,4560,,,,70,3677,1,31,,,,
19/08/2020,,4586,,,,72,3779,1,29,,,,
20/08/2020,,4604,,,,73,3827,1,31,,,,
21/08/2020,,4631,,,,75,3900,1,30,,,,
22/08/2020,,4657,,,,76,3974,1,29,,,,
23/08/2020,,4682,,,,77,4018,1,26,,,,
24/08/2020,,4691,,,,77,4052,1,27,,,,
25/08/2020,,4710,,,,77,4108,1,27,,,,
26/08/2020,,4734,,,,78,4161,1,27,,,,
27/08/2020,,4755,,,,79,4200,1,25,,,,
28/08/2020,,4768,,,,84,4249,1,25,,,,
29/08/2020,,4786,,,,86,4287,1,23,,,,
30/08/2020,,4801,,,,88,4320,1,23,,,,
31/08/2020,,4810,,,,89,4342,1,26,,,,
01/09/2020,,4822,,,,90,4380,1,25,,,,
02/09/2020,,4830,,,,93,4401,1,25,,,,
03/09/2020,,4838,,,,94,4431,1,25,,,,
04/09/2020,,4850,,,,94,4456,1,26,,,,
05/09/2020,,4857,,,,94,4493,1,23,,,,
06/09/2020,,4878,,,,95,4511,1,22,,,,
07/09/2020,,4889,,,,98,4524,1,20,,,,
08/09/2020,,4895,,,,99,4543,1,21,,,,
09/09/2020,,4901,,,,99,4557,1,21,,,,
10/09/2020,,4913,,,,99,4582,1,21,,,,
11/09/2020,,4925,,,,99,4597,1,21,,,,
12/09/2020,,4938,,,,100,4613,1,21,,,,
13/09/2020,,4957,,,,100,4630,1,21,,,,
14/09/2020,,4971,,,,101,4635,1,21,,,,
15/09/2020,,4975,,,,101,4646,1,18,,,,
16/09/2020,,4984,,,,102,4663,1,16,,,,
17/09/2020,,4993,,,,102,4682,1,14,,,,
18/09/2020,,4996,,,,103,4696,1,13,,,,
19/09/2020,,5009,,,,103,4708,1,13,,,,
20/09/2020,,5032,,,,103,4712,1,13,,,,
21/09/2020,,5038,,,,103,4717,1,13,,,,
22/09/2020,,5046,,,,103,4729,1,13,,,,
23/09/2020,,5049,,,,103,4749,1,12,,,,
24/09/2020,,5056,,,,104,4758,1,13,,,,
25/09/2020,,5058,,,,104,4765,1,12,,,,
26/09/2020,,5059,,,,105,4777,1,11,,,,
27/09/2020,,5065,,,,105,4786,1,11,,,,
28/09/2020,,5075,,,,105,4790,1,11,,,,
29/09/2020,,5079,,,,105,4807,1,11,,,,
30/09/2020,,5087,,,,105,4827,1,10,,,,
01/10/2020,,5097,,,,105,4837,1,10,,,,
02/10/2020,,5104,,,,105,4843,1,10,,,,
03/10/2020,,5108,,,,105,4849,1,10,,,,
04/10/2020,,5113,,,,105,4861,1,10,,,,
05/10/2020,,5124,,,,105,4864,1,11,,,,
06/10/2020,,5132,,,,105,4875,1,10,,,,
07/10/2020,,5143,,,,105,4885,1,10,,,,
08/10/2020,,5161,,,,105,4890,1,10,,,,
09/10/2020,,5169,,,,105,4906,1,9,,,,
10/10/2020,,5175,,,,105,4914,1,8,,,,
11/10/2020,,5182,,,,105,4919,1,8,,,,
12/10/2020,,5193,,,,105,4921,1,8,,,,
13/10/2020,,5201,,,,105,4931,1,10,,,,
14/10/2020,,5201,,,,105,4932,1,11,,,,
15/10/2020,,5213,,,,105,4943,1,12,,,,
16/10/2020,,5220,,,,105,4951,1,12,,,,
17/10/2020,,5237,,,,105,4963,1,12,,,,
18/10/2020,,5241,,,,105,4973,1,12,,,,
19/10/2020,,5256,,,,105,4982,1,12,,,,
20/10/2020,,5261,,,,105,4996,1,12,,,,
21/10/2020,,5269,,,,105,5004,1,13,,,,
22/10/2020,,5280,,,,105,5019,1,13,,,,
23/10/2020,,5284,,,,105,5029,1,13,,,,
24/10/2020,,5289,,,,105,5041,1,12,,,,
25/10/2020,,5295,,,,105,5047,1,12,,,,
26/10/2020,,5303,,,,105,5050,1,12,,,,
27/10/2020,,5308,,,,105,5053,1,11,,,,
28/10/2020,,5310,,,,105,5063,1,10,,,,
29/10/2020,,5313,,,,105,5073,1,9,,,,
30/10/2020,,5320,,,,105,5082,1,9,,,,
31/10/2020,,5323,,,,105,5089,1,9,,,,
01/11/2020,,5330,,,,105,5096,1,9,,,,
02/11/2020,,5336,,,,105,5102,1,9,,,,
03/11/2020,,5345,,,,105,5109,1,9,,,,
04/11/2020,,5348,,,,106,5118,1,8,,,,
05/11/2020,,5355,,,,106,5126,1,8,,,,
06/11/2020,,5361,,,,107,5131,1,8,,,,
07/11/2020,,5364,,,,107,5139,1,7,,,,
08/11/2020,,5374,,,,107,5144,1,7,,,,
09/11/2020,,5380,,,,107,5146,1,7,,,,
10/11/2020,,5389,,,,108,5153,1,6,,,,
11/11/2020,,5407,,,,108,5159,1,6,,,,
12/11/2020,,5430,,,,108,5170,1,6,,,,
13/11/2020,,5436,,,,108,5177,1,6,,,,
14/11/2020,,5444,,,,108,5187,1,6,,,,
15/11/2020,,5458,,,,108,5194,1,7,,,,
16/11/2020,,5466,,,,108,5198,1,7,,,,
17/11/2020,,5470,,,,108,5212,1,7,,,,
18/11/2020,,5479,,,,108,5224,1,8,,,,
19/11/2020,,5491,,,,108,5233,1,8,,,,
20/11/2020,,5517,,,,108,5239,1,8,,,,
21/11/2020,,5560,,,,108,5248,1,8,,,,
22/11/2020,,5628,,,,108,5259,1,8,,,,
23/11/2020,,5701,,,,108,5267,1,8,,,,
24/11/2020,,5781,,,,108,5274,1,7,,,,
25/11/2020,,5866,,,,108,5295,1,7,,,,
26/11/2020,,5947,,,,108,5300,1,7,,,,
27/11/2020,,6039,,,,108,5313,1,6,,,,
28/11/2020,,6123,,,,109,5328,1,7,,,,
29/11/2020,,6238,,,,109,5340,1,11,,,,
30/11/2020,,6314,,,,109,5344,1,11,,,,
01/12/2020,,6396,,,,109,5361,1,14,,,,
02/12/2020,,6499,,,,110,5394,1,17,,,,
03/12/2020,,6589,,,,110,5423,1,21,,,,
04/12/2020,,6701,,,,112,5465,1,23,,,,
05/12/2020,,6802,,,,112,5511,1,29,,,,
06/12/2020,,6897,,,,112,5567,1,31,,,,
07/12/2020,,6975,,,,112,5626,1,36,,,,
08/12/2020,,7075,,,,112,5696,1,38,,,,
09/12/2020,,7179,,,,114,5783,1,39,,,,
10/12/2020,,7291,,,,114,5900,1,43,,,,
11/12/2020,,7377,,,,114,5996,1,44,,,,
12/12/2020,,7446,,,,115,6114,1,49,,,,
13/12/2020,,7541,,,,117,6202,1,46,,,,
14/12/2020,,7623,,,,120,6266,1,46,,,,
15/12/2020,,7721,,,,122,6345,1,50,,,,
16/12/2020,,7803,,,,123,6439,1,59,,,,
17/12/2020,,7899,,,,125,6534,1,58,,,,
18/12/2020,,7969,,,,129,6628,1,61,,,,
19/12/2020,,8078,,,,129,6737,1,61,,,,
20/12/2020,,8152,,,,129,6837,1,64,,,,
21/12/2020,,8237,,,,131,6910,1,63,,,,
22/12/2020,,8300,,,,132,6995,1,67,,,,
23/12/2020,,8353,,,,133,7112,1,65,,,,
24/12/2020,,8424,,,,135,7203,1,61,,,,
25/12/2020,,8481,,,,136,7317,1,54,,,,
26/12/2020,,8540,,,,136,7394,1,55,,,,
27/12/2020,,8610,,,,136,7474,1,55,,,,
28/12/2020,,8671,,,,139,7526,1,51,,,,
29/12/2020,,8724,,,,143,7616,1,47,,,,
30/12/2020,,8778,,,,146,7722,1,50,,,,
31/12/2020,,8846,,,,148,7813,1,51,,,,
01/01/2021,,8888,,,,149,7912,1,51,,,,
02/01/2021,,8923,,,,150,7968,1,49,,,,
03/01/2021,,8964,,,,150,8011,1,49,,,,
04/01/2021,,9017,,,,151,8055,1,50,,,,
05/01/2021,,9049,,,,153,8127,1,48,,,,
06/01/2021,,9074,,,,154,8201,1,43,,,,
07/01/2021,,9107,,,,154,8258,1,41,,,,
08/01/2021,,9152,,,,155,8307,1,42,,,,
09/01/2021,,9211,,,,157,8374,1,39,,,,
10/01/2021,,9242,,,,158,8423,1,39,,,,
11/01/2021,,9283,,,,158,8468,1,39,,,,
12/01/2021,,9343,,,,159,8524,1,40,,,,
13/01/2021,,9385,,,,161,8584,1,41,,,,
14/01/2021,,9414,,,,161,8631,1,42,,,,
15/01/2021,,9452,,,,161,8684,1,41,,,,
16/01/2021,,9502,,,,162,8724,1,42,,,,
17/01/2021,,9557,,,,162,8758,1,42,,,,
18/01/2021,,9664,,,,163,8786,1,41,,,,
19/01/2021,,9720,,,,164,8828,1,39,,,,
20/01/2021,,9797,,,,166,8865,1,39,,,,
21/01/2021,,9867,,,,167,8904,1,37,,,,
22/01/2021,,9928,,,,167,8949,1,34,,,,
23/01/2021,,10009,,,,168,8998,1,38,,,,
24/01/2021,,10085,,,,169,9034,1,35,,,,
25/01/2021,,10158,,,,171,9056,1,35,,,,
26/01/2021,,10222,,,,173,9101,1,34,,,,
27/01/2021,,10282,,,,174,9162,1,32,,,,
28/01/2021,,10321,,,,177,9239,1,32,,,,
29/01/2021,,10371,,,,178,9302,1,30,,,,
30/01/2021,,10399,,,,178,9362,1,28,,,,
31/01/2021,,10452,,,,181,9423,1,28,,,,
01/02/2021,,10486,,,,182,9474,1,28,,,,
02/02/2021,,10511,,,,183,9549,1,30,,,,
03/02/2021,,10530,,,,185,9633,1,28,,,,
04/02/2021,,10552,,,,186,9684,1,26,,,,
05/02/2021,,10589,,,,186,9750,1,24,,,,
06/02/2021,,10608,,,,186,9828,1,24,,,,
07/02/2021,,10635,,,,186,9887,1,23,,,,
08/02/2021,,10667,,,,186,9918,1,24,,,,
09/02/2021,,10693,,,,187,9976,1,24,,,,
10/02/2021,,10710,,,,188,10022,1,22,,,,
11/02/2021,,10731,,,,191,10077,1,21,,,,
12/02/2021,,10755,,,,192,10136,1,22,,,,
13/02/2021,,10767,,,,193,10160,1,21,,,,
14/02/2021,,10779,,,,193,10185,1,21,,,,
15/02/2021,,10788,,,,193,10207,1,21,,,,
16/02/2021,,10796,,,,194,10232,1,22,,,,
17/02/2021,,10812,,,,195,10270,1,19,,,,
18/02/2021,,10820,,,,197,10298,1,18,,,,
19/02/2021,,10833,,,,197,10329,1,18,,,,
20/02/2021,,10848,,,,197,10362,1,18,,,,
21/02/2021,,10868,,,,197,10389,1,18,,,,
22/02/2021,,10884,,,,197,10404,1,18,,,,
23/02/2021,,10896,,,,197,10427,1,17,,,,
24/02/2021,,10913,,,,197,10461,1,17,,,,
25/02/2021,,10926,,,,198,10474,1,18,,,,
26/02/2021,,10951,,,,198,10493,1,18,,,,
27/02/2021,,10983,,,,198,10519,1,17,,,,
28/02/2021,,11005,,,,199,10536,1,17,,,,
01/03/2021,,11019,,,,200,10547,1,16,,,,
02/03/2021,,11032,,,,200,10563,1,14,,,,
03/03/2021,,11046,,,,200,10578,1,13,,,,
04/03/2021,,11055,,,,201,10593,1,13,,,,
05/03/2021,,11066,,,,201,10604,1,13,,,,
06/03/2021,,11074,,,,202,10622,1,12,,,,
07/03/2021,,11090,,,,202,10629,1,13,,,,
08/03/2021,,11099,,,,202,10636,1,13,,,,
09/03/2021,,11120,,,,202,10662,1,14,,,,
10/03/2021,,11128,,,,202,10675,1,14,,,,
11/03/2021,,11150,,,,203,10695,1,13,,,,
12/03/2021,,11210,,,,203,10711,1,13,,,,
13/03/2021,,11257,,,,203,10739,1,13,,,,
